Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INDUSINDBK,EQ,20-Jun-18,1931.5,1939,1975,1927.5,1974,1967.4,1954.05,489671,956842829.6,23108,199164,40.67
INDUSINDBK,EQ,21-Jun-18,1967.4,1969.3,1975.75,1946.05,1964.5,1960.5,1959.73,779490,1527590397,34139,404407,51.88
INDUSINDBK,EQ,22-Jun-18,1960.5,1960.5,1963.75,1927.4,1954.15,1953.25,1940.79,956565,1856492987,44208,505684,52.86
INDUSINDBK,EQ,25-Jun-18,1953.25,1951,1976.9,1946.5,1970,1969.95,1965.98,566785,1114285437,25334,228838,40.37
INDUSINDBK,EQ,26-Jun-18,1969.95,1961.1,1993.9,1956.85,1981.9,1983.3,1981.09,662063,1311605498,41202,352186,53.2
INDUSINDBK,EQ,27-Jun-18,1983.3,1989,1995,1959.1,1968,1969.25,1971.57,555455,1095120392,38013,259359,46.69
INDUSINDBK,EQ,28-Jun-18,1969.25,1969,1990,1948.25,1967.65,1967.6,1962.63,1393387,2734696323,47350,860560,61.76
INDUSINDBK,EQ,29-Jun-18,1967.6,1970,1979,1929.55,1937.55,1932.2,1942.41,1324639,2572996809,64852,742633,56.06
INDUSINDBK,EQ,02-Jul-18,1932.2,1938,1957.05,1928.5,1944.7,1948.8,1945.02,708738,1378512798,61191,407464,57.49
INDUSINDBK,EQ,03-Jul-18,1948.8,1944,1955.8,1935,1951.5,1951,1948.58,926035,1804454949,55211,724710,78.26
INDUSINDBK,EQ,04-Jul-18,1951,1954,1985.75,1945.3,1979.55,1976.3,1958.32,1514361,2965602936,36300,1221100,80.63
INDUSINDBK,EQ,05-Jul-18,1976.3,1980.2,1991,1960.1,1968.9,1964.45,1974.69,490611,968805390.7,18691,243241,49.58
INDUSINDBK,EQ,06-Jul-18,1964.45,1961.45,1971.45,1952.3,1958.3,1959.4,1962.52,590699,1159255768,29079,396304,67.09
INDUSINDBK,EQ,09-Jul-18,1959.4,1968.7,1970,1944.2,1954.55,1958.3,1957.58,853596,1670982901,39752,542092,63.51
INDUSINDBK,EQ,10-Jul-18,1958.3,1970,1970,1924,1936,1935.1,1942.65,3301425,6413518728,111099,1636838,49.58
INDUSINDBK,EQ,11-Jul-18,1935.1,1943,1946.6,1903.1,1916.55,1914.8,1920.89,1739970,3342289341,68732,981126,56.39
INDUSINDBK,EQ,12-Jul-18,1914.8,1923.2,1953,1923.2,1935,1938.15,1941.95,844316,1639620927,50263,351524,41.63
INDUSINDBK,EQ,13-Jul-18,1938.15,1936.5,1948.8,1918.35,1926.8,1923.75,1928.29,954344,1840250748,28844,613146,64.25
INDUSINDBK,EQ,16-Jul-18,1923.75,1929.95,1950.5,1918.5,1921.95,1922.75,1937.29,659528,1277694139,31933,332783,50.46
INDUSINDBK,EQ,17-Jul-18,1922.75,1924.1,1927.55,1892,1908,1905,1902.65,1131560,2152965588,67995,696887,61.59
INDUSINDBK,EQ,18-Jul-18,1905,1910,1923.65,1886,1887,1892.55,1903.57,773027,1471511497,45382,304265,39.36
INDUSINDBK,EQ,19-Jul-18,1892.55,1894.85,1905.9,1881,1888.25,1888.25,1892.08,593314,1122599133,30719,300975,50.73
INDUSINDBK,EQ,20-Jul-18,1888.25,1888,1913.95,1877.5,1899.4,1902.55,1900.74,817518,1553888048,40543,459441,56.2
INDUSINDBK,EQ,23-Jul-18,1902.55,1906.25,1942.4,1903,1939,1940.15,1930.83,1072520,2070856204,91562,780903,72.81
INDUSINDBK,EQ,24-Jul-18,1940.15,1950,1954.8,1940,1947.1,1947.4,1948.55,573920,1118310984,31768,341867,59.57
INDUSINDBK,EQ,25-Jul-18,1947.4,1949.95,1970.6,1940,1965.6,1965.05,1960.57,1065275,2088548051,78077,719163,67.51
INDUSINDBK,EQ,26-Jul-18,1965.05,1965,1988,1947.85,1962.8,1960.35,1966.56,2959597,5820219857,165275,1767566,59.72
INDUSINDBK,EQ,27-Jul-18,1960.35,1969,1988.8,1955.8,1981,1981.55,1976.07,858768,1696985345,46297,650710,75.77
INDUSINDBK,EQ,30-Jul-18,1981.55,1978,1989.55,1965,1975,1970.2,1971.96,1792695,3535129689,27767,1552267,86.59
INDUSINDBK,EQ,31-Jul-18,1970.2,1970.1,2001.75,1963.25,1996.4,1995.15,1981.23,460626,912605321.9,28594,238159,51.7
INDUSINDBK,EQ,01-Aug-18,1995.15,2005,2021,1992.7,2000,2001.35,2008.92,884802,1777498659,43873,561133,63.42
INDUSINDBK,EQ,02-Aug-18,2001.35,1999,2032.25,1995.55,2022,2023.05,2021.1,1278375,2583725404,126195,831524,65.05
INDUSINDBK,EQ,03-Aug-18,2023.05,2033.1,2038,2003.45,2014,2015.85,2022.36,1234457,2496516420,61566,757946,61.4
INDUSINDBK,EQ,06-Aug-18,2015.85,2022.9,2025.7,1993.25,2003.85,1999.8,2004.22,749860,1502883016,35146,528797,70.52
INDUSINDBK,EQ,07-Aug-18,1999.8,2004.8,2009.2,1980.05,1994.55,1994.3,1991.49,531559,1058593923,26703,340564,64.07
INDUSINDBK,EQ,08-Aug-18,1994.3,1996,2014.75,1984.1,1998.05,2000.65,2003.85,886494,1776400866,52024,657601,74.18
INDUSINDBK,EQ,09-Aug-18,2000.65,2008,2011,1971.6,1984.55,1985.05,1987.82,593894,1180555764,23846,324635,54.66
INDUSINDBK,EQ,10-Aug-18,1985.05,1981,1998,1962.25,1981.2,1979.5,1979.81,648603,1284108096,37257,302596,46.65
INDUSINDBK,EQ,13-Aug-18,1979.5,1970,1996,1963,1994,1993.9,1977.48,930525,1840092973,82802,616608,66.26
INDUSINDBK,EQ,14-Aug-18,1993.9,1993.9,2000,1979.2,1997.6,1997.6,1990.91,322251,641571668.8,22824,129747,40.26
INDUSINDBK,EQ,16-Aug-18,1997.6,1987.55,1994.9,1974.15,1985,1984.2,1981.64,812823,1610723924,69171,549793,67.64
INDUSINDBK,EQ,17-Aug-18,1984.2,1991,1995,1982.1,1989.4,1990.4,1990.58,462694,921030149.9,47997,285825,61.77
INDUSINDBK,EQ,20-Aug-18,1990.4,1992,2000,1986.85,1987.55,1990.95,1993.38,671269,1338092670,65556,497416,74.1
INDUSINDBK,EQ,21-Aug-18,1990.95,1995,1995,1967.3,1974.15,1975.95,1977.51,688170,1360863692,73019,365650,53.13
INDUSINDBK,EQ,23-Aug-18,1975.95,1975.9,1975.9,1952.05,1958.9,1957.2,1958.99,1012394,1983266634,95419,736392,72.74
INDUSINDBK,EQ,24-Aug-18,1957.2,1958.75,1958.75,1921.55,1937.4,1928.15,1933.35,939358,1816106873,61074,610091,64.95
INDUSINDBK,EQ,27-Aug-18,1928.15,1932.55,1963.8,1930,1957,1951.35,1953.68,1305157,2549856073,126493,860719,65.95
INDUSINDBK,EQ,28-Aug-18,1951.35,1960.2,1968.65,1930.1,1935.9,1933.65,1950.56,686872,1339787689,68445,424984,61.87
INDUSINDBK,EQ,29-Aug-18,1933.65,1935,1939.3,1900.1,1903.15,1905.55,1911.09,1139011,2176750297,71394,785310,68.95
INDUSINDBK,EQ,30-Aug-18,1905.55,1900.1,1907.45,1867,1873.1,1875.65,1879.25,2124825,3993078186,80358,1406602,66.2
INDUSINDBK,EQ,31-Aug-18,1875.65,1871,1915.8,1862,1908.85,1906.6,1900.19,1952492,3710110383,94923,1359532,69.63
INDUSINDBK,EQ,03-Sep-18,1906.6,1906,1918.85,1884.7,1895,1897,1900.25,937981,1782402338,85683,621023,66.21
INDUSINDBK,EQ,04-Sep-18,1897,1895,1898.8,1843,1858.3,1855.6,1856.52,1290572,2395967832,62292,715496,55.44
INDUSINDBK,EQ,05-Sep-18,1855.6,1855.8,1864.7,1825,1860,1854.85,1841.35,804386,1481157881,45554,374048,46.5
INDUSINDBK,EQ,06-Sep-18,1854.85,1870,1885,1851,1879,1880,1873.14,1003340,1879392028,54166,640771,63.86
INDUSINDBK,EQ,07-Sep-18,1880,1872.1,1885.95,1865.9,1877,1875.85,1873.19,763150,1429524723,51014,548090,71.82
INDUSINDBK,EQ,10-Sep-18,1875.85,1872,1872,1818.2,1832.5,1829.15,1830.77,1157745,2119570208,105455,711468,61.45
INDUSINDBK,EQ,11-Sep-18,1829.15,1834.1,1854.95,1819.5,1820.05,1826.5,1839.62,1430413,2631422675,64151,966300,67.55
INDUSINDBK,EQ,12-Sep-18,1826.5,1825,1837.05,1804.8,1836.4,1828.35,1821.14,1149898,2094130593,64066,702794,61.12
INDUSINDBK,EQ,14-Sep-18,1828.35,1845,1881.8,1836,1860.6,1872.8,1860.2,1512590,2813714233,68848,960332,63.49
INDUSINDBK,EQ,17-Sep-18,1872.8,1857.8,1880.9,1849,1870.1,1877.05,1867.29,1009490,1885008902,47473,716717,71
INDUSINDBK,EQ,18-Sep-18,1877.05,1867.25,1889.3,1856.05,1861,1862.15,1868.17,823718,1538848062,72453,415346,50.42
INDUSINDBK,EQ,19-Sep-18,1862.15,1866.6,1875.4,1799.25,1812.5,1804.65,1834.03,1471601,2698966554,61535,1065558,72.41
INDUSINDBK,EQ,21-Sep-18,1804.65,1820,1834.1,1731,1769.9,1762.45,1785.16,4403405,7860785469,162275,3141660,71.35
INDUSINDBK,EQ,24-Sep-18,1762.45,1769,1774.3,1658.85,1681,1674.2,1690.17,4685534,7919370818,211616,3365406,71.83
INDUSINDBK,EQ,25-Sep-18,1674.2,1675.1,1717.55,1649,1691.05,1696.75,1685.05,4503074,7587925463,194982,3155283,70.07
INDUSINDBK,EQ,26-Sep-18,1696.75,1705,1712.5,1679.5,1701.6,1701.8,1695.73,2914677,4942493886,96331,2031791,69.71
INDUSINDBK,EQ,27-Sep-18,1701.8,1705,1714.85,1676.3,1690,1682,1690.81,2809983,4751143258,108499,2048312,72.89
INDUSINDBK,EQ,28-Sep-18,1682,1693.1,1720,1668.35,1690.05,1690.05,1694.61,1801534,3052905201,91153,1063864,59.05
INDUSINDBK,EQ,01-Oct-18,1690.05,1660,1669.9,1615.65,1649,1642.65,1636.94,5213931,8534889034,196790,3672461,70.44
INDUSINDBK,EQ,03-Oct-18,1642.65,1639.8,1659.2,1606,1635.95,1638.7,1626.13,5112718,8313956489,141696,3743380,73.22
INDUSINDBK,EQ,04-Oct-18,1638.7,1614.8,1627.2,1551.35,1580,1589.5,1591.2,3065332,4877571068,127289,1848906,60.32
INDUSINDBK,EQ,05-Oct-18,1589.5,1572,1638.45,1572,1600,1607.35,1612.95,4352946,7021074166,129723,3013072,69.22
INDUSINDBK,EQ,08-Oct-18,1607.35,1606,1629.4,1582.1,1606,1600,1602.99,2426418,3889513001,108542,1500086,61.82
INDUSINDBK,EQ,09-Oct-18,1600,1608,1619.05,1590.1,1604.25,1607.9,1605.82,1065187,1710495245,42585,522251,49.03
